Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.



	Anh ta bước vào hành lang ở tầng 1,5 và thách đấu với búp bê sáp của Nữ hoàng băng giá, hiện đang bị mắc kẹt trong một khối băng khổng lồ.



	“Này, cô Nữ hoàng băng giá? Cô ngủ chưa? Có muốn cùng tôi uống một ly không?”



	Không có câu trả lời.



	“Haha! Thấy chưa! Ngay cả phù thủy huyền thoại cũng chẳng có gì đặc biệt. Tất cả những gì anh ta làm là ngủ khi bị kẹt trong băng! Đó có phải là phép thuật không?”





	- Ma thuật. Quy luật làm biến dạng hiện tượng. Nữ hoàng băng giá. Phù thủy.





	Nhà ngoại cảm đã thu thập thông tin từ Jokre.



	Optrus, người đã hiện hình thành linh hồn của Lilia, theo bản năng đã ẩn náu ở nơi mà những suy nghĩ quen thuộc nhất của cô đang tập trung.



	Nơi đó chính là bản chất thực sự của Nữ hoàng băng giá.



	Bởi vì thông tin quan trọng nhất mà khách du lịch cung cấp là về Nữ hoàng băng giá.



	Optrus đã nhanh chóng thích nghi với thế giới này dựa trên nguồn thông tin phong phú.



	Đến một thời điểm nào đó, nhận thức sẽ nảy sinh trong cơ thể tinh thần mà trước đó chỉ có cảm giác.



	Khi cảm giác và nhận thức bắt đầu giao tiếp với nhau, việc lưu giữ kiến thức đơn thuần bắt đầu chuyển sang giai đoạn tư duy.





	- Tôi tư duy, nên tôi tồn tại.





	Optus đi đến kết luận rằng anh ta cần một hình thức để chứng minh sự tồn tại của mình và anh ta đã tìm kiếm một vật chứa đặc biệt có thể hiện thực hóa suy nghĩ của mình.





	Nữ hoàng băng giá giật mình mở mắt.



	Jockrey không hề ngạc nhiên, vì anh biết rằng nếu anh đứng trên bậc thềm của búp bê sáp, mắt của nó sẽ mở ra.



	Vẻ ngoài xinh đẹp của Nữ hoàng băng giá khiến vết thương bị một người phụ nữ vứt bỏ một cách tầm thường của anh càng thêm nhói đau.



	Jockley gõ vào băng như thể đang gõ cửa.



	“Này, bệ hạ. Ngài có muốn hẹn hò với tôi không? Hả? Hehehe.”



	Vivian lè lưỡi, nhìn mũi tiêm của Jockrey với vẻ thương hại.



	“Thật là điên rồ. Này, tỉnh táo lại đi. Nếu anh mất ý thức ở đây, anh sẽ chết cóng mất.”



	Jockley xắn tay áo lên và vào tư thế chiến đấu với Nữ hoàng băng giá.



	"Được rồi, chúng ta chiến đấu đi. Đây là trận đấu giữa phù thủy và phù thủy. Nhưng nếu tôi thắng, anh sẽ ra ngoài với tôi."



	Khi thông tin thu thập được cho đến nay được phân loại vào loại kinh nghiệm, Optrus đã đạt đến giai đoạn mà anh ta có thể đánh giá thế giới theo tiêu chuẩn của riêng mình.





	- Sức mạnh là gì? Sự vượt trội của một đặc điểm nào đó. Sự kiểm soát một bản chất. Sự thay đổi, biến đổi và thay đổi thế giới vật chất.





	Rồi đột nhiên tôi nảy ra một câu hỏi.





	-Vậy thì… …tôi có mạnh mẽ không?





	“Đủ rồi, chúng ta trở về thôi. Chúng ta cũng ngủ một giấc đi. Chúng ta còn phải ở đây bao lâu nữa?”



	Ludvans, thấy mắt Jockrey chỉ khép hờ, liền ôm anh ta từ phía sau và kéo anh ta đi.



	Vivian khoanh tay thở dài, liếc nhìn Nữ hoàng băng giá rồi đi theo sau Rudbance.



	Và ngay khi cô ấy bước đi, cổ cô ấy giật mạnh về phía sau với vẻ mặt đầy kinh ngạc.



	“Hả, hả?”



	Đôi mắt của Nữ hoàng băng giá, đáng lẽ phải nhìn thẳng về phía trước, lại nhìn anh.



	Vivian nghĩ rằng cô vẫn còn hơi say.



	Nhưng dù tôi có cố gắng thế nào đi nữa thì ánh mắt của Nữ hoàng băng giá vẫn hướng sang một bên.



	Tôi cảm thấy như tóc mình dựng đứng. Tôi bị sốc và tim tôi đập mạnh đến nỗi cảm giác như nó sắp vỡ tung.



	“Này, này, mọi người ơi……”



	Giọng nói của Jockrey nhỏ dần xuống cầu thang.



	“Ừm, em có muốn đi chơi với anh không… Hmm?”



	Đừng bỏ rơi tôi!



	Vivian sợ hãi đến nỗi không thốt nên lời.



	Ánh mắt của Nữ hoàng băng giá, rõ ràng là làm bằng sáp, giờ đây có thể tự do di chuyển và nhìn xung quanh.



	Cảm giác như anh ấy đang phân tích xem thứ gì đang giam cầm mình.



	Vivian cảm thấy như mình sắp chết mặc dù cô không hề cảm thấy đau đớn.



	Không, nó còn đáng sợ hơn cả cái chết.



	Khi thời gian trôi qua và tôi bắt đầu cảm thấy ngày càng xa cách với bạn bè, khát khao sống của tôi bắt đầu thúc đẩy không khí vào bụng tôi.



	Vivian hét lớn hơn bao giờ hết trong đời.



	“Yaaaaaaaah!”



	Tiếng hét của cô vang vọng khắp hành lang.



	Khi Rudbance đang đi xuống cầu thang, quay đầu lại với vẻ mặt ngạc nhiên, một luồng sáng lóe lên từ nơi Nữ hoàng băng giá đang đứng.



	"Gì?"



	Ludvans bỏ Jockrey lại phía sau và leo lên cầu thang.



	Nữ hoàng băng giá chìm trong ánh hào quang, còn Vivian, với khuôn mặt nhợt nhạt, đang nhìn cô với cằm run rẩy.



	“Lu, Ludvans…… cái này, cái này…….”



	Làn da sáp của Nữ hoàng băng giá nứt ra, ánh sáng lọt qua các vết nứt.



	Khi cơ thể cô rung lên, những vết nứt bắt đầu hình thành trên khối băng, chia nó thành hàng ngàn mảnh vàng như thể nó có thể phát nổ bất cứ lúc nào.



	'Tôi phải tránh nó. Tôi phải tránh nó… … .'



	Khối băng nổ tung với tiếng động lớn. Cùng lúc đó, Ludvans túm lấy Vivian và bay đi.



	Những mảnh băng rơi vãi khắp nơi trong hội trường.



	Jockrey đang ở trên cầu thang vội vàng che mặt khi mảnh vỡ bay ra, sau đó ngẩng đầu lên với vẻ mặt ngạc nhiên.



	Vivian không thể rời mắt khỏi Nữ hoàng băng giá ngay cả khi cô ấy ngã ngồi xuống.



	Bên trong con búp bê sáp vỡ tan là ánh sáng lân quang màu vàng rực rỡ.



	Nó bước chậm về phía lan can.



	Khi ánh sáng dần mờ đi, Nữ hoàng băng giá xuất hiện, rạng rỡ hơn bao giờ hết.



	Vivian lẩm bẩm tỏ vẻ không tin.



	“Nữ hoàng băng giá… đã trở lại?”



	Cô đã theo dõi Nữ hoàng băng giá trở về từ góc nhìn gần nhất, và cô thấy lớp da sáp nứt ra như khuôn và một Nữ hoàng băng giá mới xuất hiện thay thế.



	Khi đến hành lang bên kia, Jockrey cố chạy đến chỗ Vivian, nhưng rồi dừng lại.



	Giống như Vivian, khuôn mặt anh cũng chuyển sang màu trắng.



	“Nữ hoàng băng giá?”



	Vậy truyền thuyết đó có đúng không?



	Nếu tình huống hiện tại không phải là mơ, thì giờ đây anh đang phải đối mặt với một phù thủy đã khiến vô số người tử vong.



	“Haaaaaaah.”



	Nữ hoàng băng giá mở miệng và thở ra. Không khí bắt đầu đóng băng khi sương giá rò rỉ ra ngoài.



	“Đây chính là hiện tượng đóng băng.”



	Đó là một giọng hát tuyệt đẹp.



	Nhưng khi Jokre nhìn vào đôi mắt vô hồn của Nữ hoàng băng giá, anh cảm thấy máu chảy trong huyết quản mình đông lại.



	Nữ hoàng băng giá, người vẫn nhìn Jockrey với ánh mắt thờ ơ, nói.



	“Nếu anh đánh em, em sẽ làm. Đây chính là tình yêu.”



	“Ugh... Euaaaah!”



	Jockrey đang căng thẳng đến mức sắp chết.



	Ngược lại, ham muốn sống đã ngay lập tức loại bỏ tác dụng của rượu và giải phóng phép thuật mà anh đã luyện tập trong thời gian dài nhất.



	Một quả cầu lửa được sinh ra trên lòng bàn tay của bạn.



	Khả năng đặc biệt của Jokre là sử dụng phép thuật lửa tầm gần.



	Mặc dù tốc độ bắn không nhanh lắm nhưng tôi có thể tự hào rằng sức mạnh của nó là vô song.



	"Không đời nào!"



	Vivian hét lên. Theo quan điểm của người thứ ba, đây là hành động cực kỳ liều lĩnh.



	Nhưng nếu cô ấy thực sự nhìn vào mắt Nữ hoàng băng giá, cô ấy sẽ không còn lựa chọn nào khác ngoài việc làm điều tương tự như Jockrey.



	“Chết đi, chết đi!”



	Quả cầu lửa do Jockle ném trúng thẳng vào đầu Nữ hoàng băng giá.



	Không, có vẻ như cô ấy không có ý định tránh nó ngay từ đầu. Có một tiếng nổ và đỉnh cổ của cô ấy bốc cháy.



	“Gyaaaaah!”



	Vivian hét lên khi tưởng tượng ra một ngọn nến người, ban đầu là một con búp bê sáp.



	Dù sao thì chuyện cũng đã rồi.



	Những người Ludvans tương đối lý trí lẩm bẩm trong khi cẩn thận quan sát chuyển động của Nữ hoàng băng giá.



	“Anh ấy chết rồi à?”



	Nữ hoàng băng giá thậm chí còn không di chuyển. Mọi dây thần kinh của cô đều tập trung vào não.



	Đây thực sự là một cảm giác thú vị khi lần đầu tiên được trải nghiệm kể từ khi nó hình thành.



	Cơn đau từ vết bỏng trên mặt anh thật khủng khiếp khi anh biến đổi luật lệ thành hình dạng của một sinh vật sống.



	Nhưng đối với cô, người không thể định nghĩa rõ ràng nỗi đau, nỗi đau chỉ đơn thuần là một trạng thái cảm giác bất thường.



	'Đây có phải là nhiệt không? Nó hấp thụ năng lượng và ngăn chặn nó.'



	Khi năng lượng bị hút vào thông qua luật pháp, ngọn lửa biến mất ngay lập tức và bầu không khí xung quanh đóng băng.



	Khuôn mặt biến dạng khủng khiếp của Nữ hoàng băng giá hiện ra.



	Người thực hiện điều này, Jockrey, đã quá sốc đến nỗi ngã lăn ra đất.



	“Ái chà, cứu tôi với, cứu tôi với…….”



	Nữ hoàng băng giá tận hưởng cảm giác những dây thần kinh co giật trên khuôn mặt mình.



	Đau đớn thực sự là một cảm giác khó chịu.



	'Bộ não… … .'



	Gương mặt của Nữ hoàng băng giá đang tiến về phía Jokere bắt đầu tái tạo từ từ.



	“Tôi gần như tan chảy.”



	Nếu não bạn tan chảy, bạn sẽ chết.



	Đó là một sinh vật.



	“Làm ơn cứu tôi! Tôi sai rồi!”



	Jokre ngã sấp mặt xuống đất và cầu xin tha mạng. Thật điên rồ khi phải đối mặt với một phù thủy còn sống, ngay cả khi khuôn mặt bị bỏng.



	“Joker!”



	Vivian và Ludvans chạy về phía trước và chặn đường Jockrey.



	Họ không phải là đối thủ của Nữ hoàng băng giá, nhưng Jockrey cảm thấy những người bạn đứng trước mặt mình chính là vị cứu tinh của mình.



	Vivian quỳ xuống và cầu xin.



	“Xin hãy cứu tôi! Bạn tôi say rượu và đã làm điều này! Tôi không bao giờ có ý định tấn công Nữ hoàng.”



	"rượu bia?"



	Rượu. Não. Chất gây rối loạn.



	"Tôi hiểu rồi."



	Khi Nữ hoàng băng giá biết rằng lý do cô phải chịu đau khổ là do một chất gây rối loạn não, cô đã mất hứng thú.



	“Tôi không nghĩ việc hấp thụ thứ gì đó như rượu sẽ có lợi cho một sinh vật sống.”



	“Vâng! Vâng! Tôi xin lỗi.”



	“Vậy bây giờ bạn định làm gì?”



	Nữ hoàng băng giá hỏi với sự tò mò tột độ.



	Tôi sinh ra là con người và gặp gỡ con người. Vì vậy, tôi tự hỏi họ sẽ làm gì với tôi.



	Vì sự ngây thơ và sự điên rồ có điểm chung nên câu hỏi chân thành của Nữ hoàng băng giá đã khiến Jockrey kinh hãi.



	"Tôi sẽ làm bất cứ điều gì anh bảo tôi làm. Vậy nên xin hãy tha mạng cho tôi."



	"Bạn có làm theo những gì được bảo không?"



	“Vâng, bất cứ điều gì…….”



	Nữ hoàng băng giá nghiêng đầu.



	"Tại sao?"



	Jockrey nhìn Nữ hoàng băng giá với đôi mắt bối rối.



	Khi tôi tỉnh lại, tôi thấy lời nói và hành vi của cô ấy có vẻ kỳ lạ.



	Nhưng nếu truyền thuyết là sự thật, điều đó có nghĩa là ông đã ngủ đông trong 800 năm. Rất có thể ông đã mất trí nhớ.



	“Tất nhiên, Nữ hoàng là người cai trị. Bà ấy cũng là một phù thủy vĩ đại. Vì vậy, bà ấy phải cai trị một lần nữa.”



	"điều khiển?"



	Đầu của Nữ hoàng băng giá nghiêng thêm. Sau đó, cô ấy cau mày như thể cô ấy không hài lòng với điều gì đó.



	Mặc dù nó có được tính cách bằng cách mượn hình dạng con người, nhưng tốc độ xử lý thông tin của nó lại giảm đi đáng kể.



	Tuy nhiên, sự không phù hợp như vậy trong hệ thần kinh không được coi là điều khó chịu mà là đặc điểm của sinh vật sống.



	“Tôi hiểu rồi. Tôi cai trị. Bởi vì tôi mạnh mẽ.”



	Jockrey thở phào nhẹ nhõm.



	Quả nhiên, Nữ hoàng băng giá vẫn là Nữ hoàng băng giá, nếu như cô ta gian lận, chắc chắn sẽ mất mạng.



	“Đó là một quan điểm hợp lý. Chúng ta ở một cấp độ khác với họ, yếu đuối và bất lực.”



	Jockrey liên tục cúi chào.



	Đây là thời điểm bạn cuối cùng đạt được thành quả đầu tiên sau khi làm việc chăm chỉ suốt cuộc đời.



	Nếu tôi chết như một con chó ở một nơi xa xôi trước khi tôi có thể tận hưởng cuộc sống của một phù thủy, tôi sẽ không thể nhắm mắt lại ngay cả khi tôi đã trở thành một xác chết.



	=======================================





Số 336





	Nữ hoàng băng giá, đang suy nghĩ về lời nói của Jockrey, hơi cúi xuống và nhìn xuống anh ta.



	“Bạn cũng muốn trở nên mạnh mẽ hơn phải không?”



	Joker chớp mắt ngơ ngác, không hiểu ý định của Nữ hoàng băng giá.



	Trong truyền thuyết, nàng là một nữ phù thủy mạnh mẽ đến mức ngay cả vương quốc cũng khó có thể đối phó. Chẳng phải vì thế mà nàng bị lưu đày đến một nơi như thế này sao?



	Nhưng bây giờ, sự sống còn là ưu tiên hàng đầu. Sẽ là thảm họa nếu tôi bị cuốn vào những câu hỏi dẫn dắt không cần thiết và làm mất lòng Nữ hoàng.



	“Tôi muốn trở nên mạnh mẽ hơn!”



	Đột nhiên Vivian hét lên.



	Jockrey quay lại nhìn với vẻ mặt sửng sốt.



	'Thằng ngốc này!'



	Bạn vẫn còn say à?



	Tất nhiên, không phải là tôi không hiểu cảm xúc của cô ấy.



	Bạn đã phải chịu đựng sự thất vọng bao nhiêu trong cuộc đời mình?



	Nếu một ngày nào đó có một vị thần xuất hiện và tuyên bố sẽ ban cho họ điều ước, người dân trên thế giới này sẽ từ bỏ sự giàu có, danh vọng và người yêu trọn đời để cầu xin phép thuật.



	Nhưng lần này thời điểm không thích hợp.



	Bạn có thể mong đợi điều gì từ một người phụ nữ đã đóng băng mọi thứ xung quanh mình và thậm chí còn tự nhốt mình trong băng?



	Có lẽ là vì tình hình hiện tại quá phi thực tế.



	Đó là lý do tại sao lý thuyết về cuộc sống như một vở kịch của bà có thể đã thất bại.



	Vivian ngước nhìn Nữ hoàng băng giá với đôi mắt khao khát, không biết cô ấy có hiểu được tình cảm cháy bỏng của Jockrey hay không.



	Ngay cả khi đây là một cái bẫy trong cuộc sống, cô biết rằng đây không phải là cơ hội mà bất kỳ ai cũng có được.



	“Dạy thần đi, bệ hạ. Cho thần xem phép thuật!”



	Khi nỗi buồn dâng trào trong tôi, cơn say bị dồn nén lại ùa về cùng một lúc.



	Nhưng tâm trí tôi lại sáng suốt hơn bao giờ hết.



	Nữ hoàng băng giá giơ tay lên mà không nói một lời.



	Thông tin thu thập được khi ở Optus hiện được lưu trữ trong một không gian gọi là bộ nhớ.



	Ngoài ra, vì được sinh ra một mình nên cô chấp nhận các quy tắc của thế giới này như thông tin thuần túy, và do đó có thể kiểm soát chúng.



	Sóng của tỷ giá.



	Gió mạnh đến nỗi thổi lan ra theo những vòng tròn đồng tâm.



	Nhưng gia đình Jockrey không cảm nhận được gió. Họ chỉ nhận ra rằng có điều gì đó ở bản thân họ đã thay đổi.



	Gia đình Jockrey nhìn vào tay mình và run rẩy vì không tin nổi.



	Thế giới mà họ cảm nhận được hoàn toàn khác biệt so với thế giới trước đó.



	Nữ hoàng băng giá nói một cách thản nhiên.



	“Đây có phải là luật mà anh muốn không?”



	Joker, người quá cảm động đến nỗi không thể trả lời, chỉ gật đầu liên tục.



	Bạn không thể cảm nhận hoặc nhận ra điều đó cho đến khi nó xảy ra.



	Nhưng bạn chắc chắn sẽ cảm nhận và nhận ra điều đó khi tình huống đó xảy ra.



	Đó chính là sự thay đổi của luật.



	'Thật nực cười. Làm sao có thể như vậy được?'



	Jockrey nắm chặt tay.



	Vivian đã đúng.



	Những sự kiện diễn ra ngày hôm nay là sự đảo ngược lớn nhất và toàn diện nhất có thể xảy ra trong cuộc đời một con người.



	Sóng Tỷ Lệ (1)





	Sáng hôm sau.



	Shirone và Amy đã tham quan nhà tù của lâu đài cổ.



	Thời gian đã phá hủy và làm mòn công trình, và giờ đây một nửa công trình đã lộ ra trên mặt đất.



	Lịch sử của phép thuật rất lâu đời, nhưng chỉ gần đây nó mới được định nghĩa một cách học thuật. 800 năm trước, người ta ít quan tâm đến sự toàn năng, vì vậy phép thuật nguyên thủy là trọng tâm chính.



	Đặc biệt là vào thời điểm đó, sức mạnh của Thánh giáo vô cùng to lớn, cũng là thời điểm nền tảng của Thánh ma pháp hiện tại được hình thành.



	Vì thế, các phù thủy đã bị ngược đãi.



	Bất kỳ sức mạnh nào không được Chúa ban cho đều bị coi là sức mạnh của ma quỷ, và vô số phù thủy đã bị gia đình bỏ rơi.



	Hai người bước vào nhà tù nơi các phù thủy bị bắt và tra tấn.



	Shirone cảm thấy lạnh sống lưng khi cô đứng trước thiết bị trói chân tay và kéo căng cột sống của cô.



	“Ugh, làm sao anh nghĩ ra được công cụ này vậy? Chắc là đau lắm.”



	"Chắc hẳn các phù thủy cũng thấy khó khăn. Ma thuật không phải là thứ bạn có thể làm chỉ vì bạn muốn. Bây giờ nó là một tài năng được ban phước, nhưng hồi đó nó hẳn giống như một lời nguyền."



	Shirone và Amy rời khỏi ngục tối.



	Khi chúng tôi leo lên cầu thang nối với mặt đất, mọi người đều nhìn lên bầu trời. Một đám mây đen khổng lồ đang kéo đến từ bầu trời phía bên kia.



	Mùa đông ở dãy núi Les nổi tiếng với thời tiết trong lành, khi gió tây thổi qua các ngọn núi, tạo ra vùng áp suất cao.



	Mặc dù các khu vực áp thấp cục bộ đôi khi có tuyết rơi, nhưng những người tham gia lễ hội mùa đông thường niên chưa bao giờ thấy những đám mây dày như thế này.



	“Cái gì? Có vẻ như trời không mưa.”



	Gió không mạnh, nhưng mây đen đang kéo đến với tốc độ nhanh như khói và che phủ bầu trời.



	Nhiệt độ bắt đầu giảm nhanh chóng.



	Khi làn sóng lạnh tràn vào, khiến ngay cả những người mặc quần áo dày cũng cảm thấy lạnh, sự lo lắng bắt đầu hiện rõ trên khuôn mặt của du khách.



	“Cái gì, cái gì thế? Thời tiết điên rồ à?”



	Shirone và Amy cũng cài chặt cổ áo và quan sát tình hình.



	Nhiệt độ bất thường đến mức không thể chỉ đơn thuần là do thời tiết.



	“Amy, có gì đó không ổn. Nhiệt độ trong tự nhiên không thể giảm nhanh như vậy được.”



	“Đúng vậy. Giống như phép thuật vậy, phải không?”



	Một tiếng sét nổ ra từ vương quốc của Nữ hoàng băng giá. Sau đó, một làn sóng mạnh mẽ hình thành và lao về phía trước, đẩy lùi những đám mây đen.



	Hình dạng của bầu khí quyển uốn cong dọc theo nút thắt có thể nhìn thấy rõ ràng.



	“Nguy hiểm lắm!”



	Shirone chặn đường Amy.



	Không có thời gian để né tránh. Làn sóng di chuyển nhanh đang tiến đến, cuốn trôi khỏi vùng ngoại vi của đám đông.



	“Tránh ra!”



	Một người phụ nữ mặc đồng phục võ thuật đã chặn Shirone và Amy lại.



	Đó chính là pháp sư Lilia.



	Cô nhanh chóng in dấu bàn tay bằng ngón tay của mình.



	Ba dấu hiệu cơ bản của luật pháp, cấm đoán, phản đối và hủy diệt, được kết nối liên tiếp như dòng nước chảy, mở ra rào cản của luật pháp.



	Ngay khi một làn sóng mạnh mẽ quét qua họ, một làn sóng xung kích nổ ra trước mắt Lilia.



	“Ồ!”



	Cơ thể Lilia bay về phía sau như một viên đạn đại bác.



	Tất cả du khách đều nhìn cô. Sóng tràn qua người cô, nhưng cô là người duy nhất thực sự bị sốc.



	“Cái gì, cái gì thế? Có chuyện gì thế?”



	Ngay cả sau khi ngã xuống đất, Lilia vẫn lăn tròn.



	Dante xuất hiện, hạ thấp tư thế và ôm chặt lấy ngực cô.



	"bạn ổn chứ?"



	Lilia dựa lưng vào Dante, cắn môi. Cô đã thực hiện nhiều nghi lễ trong quá khứ, nhưng đây là lần đầu tiên cô gặp một linh hồn sử dụng luật lệ mạnh mẽ như vậy.



	Shirone và Amy tìm thấy Dante và chạy đến chỗ anh.



	Họ có linh cảm rằng những người phụ nữ trong nhóm của Dante đang bảo vệ họ khỏi điều gì đó.



	“Dante, có chuyện gì vậy? Có chuyện gì thế?”



	Dante chần chừ trả lời và đỡ Lilia đứng dậy.



	Luật lệ khác với phép thuật ở chỗ nó không có tác động vật lý. Lilia phải trả lời liệu Shirone và Amy có bình thường hay không.



	“Thế nào rồi? Bạn có thành công không?”



	“Gần rồi. Còn anh thì sao?”



	Sóng pháp luật lan truyền nhanh chóng, Lyria không thể bảo vệ cả hai nơi. Cho dù một phù thủy vĩ đại đến đâu, cũng không thể ngăn chặn được pháp luật nếu anh ta không thể kiểm soát được ý chí của Gold, Ban và Shack.



	Dante lấy ra vật tổ treo trên cổ.



	“Cảm ơn bạn.”



	Một mặt dây chuyền có hình dạng khuôn mặt quái vật được treo trên một chiếc vòng cổ làm từ vỏ cây bạch dương xoắn.



	Mặc dù trông có vẻ xấu xa nhưng đây lại là vị thần hộ mệnh có khả năng xua đuổi tà ma.



	Có một vết nứt chéo dọc theo trán của vị thần hộ mệnh, một vết thương do tiếp xúc với sóng Yul.



	Khi tôi đặt nó vào lòng bàn tay, cuối cùng nó không giữ được nữa và vỡ thành hai mảnh với tiếng kêu rắc rắc.



	Dante đưa vật tổ ra với vẻ mặt ngượng ngùng.



	“Tôi đã nói với anh là chỉ có một thôi mà. Tôi xin lỗi.”



	Lilia lắc đầu mạnh.



	“Ngươi không cần phải hối hận. Đó là những gì totem nói. Nó có nghĩa là luật pháp mạnh mẽ đến mức có thể chia cắt Nachal. Thật may mắn khi nó đã bị ngăn chặn.”



	Shirone không hiểu được cuộc trò chuyện giữa hai người. Dù sao thì tình hình có vẻ nghiêm trọng nên cô ấy đã can thiệp.



	“Dante, có chuyện gì thế?”



	Lilia trả lời.



	"Bạn may mắn đấy. Bạn sẽ ổn thôi."



	Amy hỏi lại với vẻ mặt bực bội.



	"Vậy thì cái quái gì là ổn?"



	Lilia nhìn qua nhìn lại giữa Shirone và Amy.



	Đã dự đoán được rằng linh hồn đã đạt được bản ngã sẽ thay đổi luật lệ xung quanh để sinh tồn. Trong tình huống như vậy, số người mà Lilia có thể cứu khỏi luật lệ trong tích tắc nhiều nhất cũng chỉ có hai hoặc ba người.



	Có hàng trăm người đang tụ tập ở đây ngay lúc này.



	Và trong số họ, chắc hẳn phải có một số người sở hữu khả năng cần thiết cho nghi lễ này.



	Đây có thực sự là lựa chọn đúng đắn không?



	Tôi không thể đoán trước được hậu quả của việc từ bỏ tất cả chúng và giữ lại một cặp thậm chí chưa đầy hai mươi năm tuổi.



	“Dante, những đứa trẻ này là ai? Tôi không nghe theo lệnh của anh để cứu bạn của anh.”



	Dante nói, suy ngẫm về bản chất thực sự của Nữ hoàng băng giá.



	“Tôi đã nói với anh rồi, đó là vị trí thứ hai mà.”



	“Giải nhì? Giải nhì là gì?”



	Dante nheo một mắt.



	Như tôi đã biết trong một đêm, Lilia thực sự không hề hay biết.



	Tôi không muốn giải thích dài dòng. Sẽ đạt được gì khi kể câu chuyện một cách chi tiết?



	“Anh ấy là số một. Số một trong vương quốc.”



	Lilia quay lại nhìn Shirone với vẻ mặt ngạc nhiên.



	Lý do hắn liên minh với Dante, mặc dù anh ta chưa phải là một đấu sĩ chuyên nghiệp, là vì anh ta là một đấu sĩ có kỹ năng cao, nổi tiếng khắp vương quốc.



	Vì các pháp sư không có hệ thống cạnh tranh như các pháp sư nên họ không cảm thấy nhiều khi nghe tin mình ở vị trí thứ hai.



	Có bao nhiêu người trong vương quốc? Có vấn đề gì nếu bạn là người thứ nhất hay thứ hai?



	Nếu bạn chỉ đạt giải nhì thì bạn là một học sinh rất giỏi.



	Nhưng nó đã ở đây.



	Cô thực sự bị sốc khi biết rằng trong vương quốc rộng lớn này, vị trí thứ nhất và thứ hai lại ở cùng một nơi.



	'Đứa trẻ này thực sự đánh bại được Dante sao?'



	Đó là một ấn tượng tốt. Ngoại trừ đôi mắt còn sống, không còn chút hào quang nào của người đứng đầu đất nước.



	Tôi đã đích thân trải nghiệm kỹ năng của Dante vào sáng hôm qua.



	Khả năng ứng phó với tình huống, phán đoán và kỹ năng vượt trội của ông ngang bằng với những người chuyên nghiệp.



	Thành thật mà nói, là một pháp sư, Lilia không thể tưởng tượng được loại kỹ năng nào có thể vượt qua anh ta.



	Dante nói, chỉ ra bản chất thực sự của Nữ hoàng băng giá.



	"Các ngươi đã đến rồi. Shirone và Amy, cũng chuẩn bị đi. Có lẽ các ngươi sẽ không hiểu, nhưng ít nhất cũng nên thư giãn một chút."



	Một người phụ nữ mặc chiếc váy giống hệt Nữ hoàng băng giá đang bay ngang bầu trời.



	“Đó không phải là Nữ hoàng băng giá sao?”



	Nữ hoàng băng giá vừa bay lên trời đã từ từ đáp xuống mặt đất.



	Một tia sáng xuất hiện ở đằng xa, và một tia sáng du hành vũ trụ bay tới theo đường cong, đâm sầm xuống bên cạnh cô.



	Mắt Amy mở to.



	“Jokere? Tại sao anh lại……?”



	Jockley cười và ngã xuống đất sau lưng Nữ hoàng băng giá. Sau đó Ludvans và Vivian đáp xuống.



	Không ai hiểu được tình hình.



	Ít nhất thì Shirone và Amy cũng cảm thấy khủng hoảng, nhưng những du khách dường như đã thư giãn và mỉm cười.



	“Ha ha! Ngươi thật sự là Nữ hoàng băng giá sao? Đây là sự kiện gì?”



