Số 92





	“Tên của bạn là Harvest.”



	Fermi, người duy nhất còn lại, gãi đầu vì xấu hổ.



	“Này, mọi việc đang diễn ra tốt đẹp nhưng rồi chúng lại đổ vỡ vào phút cuối.”



	Alpheus phá lên cười.



	“Haha! Có vẻ như lần này mọi chuyện không diễn ra như dự định, Fermi.”



	“Tôi không thể làm gì khác. Thành thật mà nói, tôi cảm thấy việc hiệu trưởng can thiệp là không công bằng.”



	“Bây giờ không phải tốt nghiệp rồi sao? Năm sau cậu cũng hai mươi hai tuổi rồi.”



	“Được rồi, vẫn chưa có cách nào kiếm tiền ở đây cả.”



	“Thật vậy sao?”



	Ông biết Fermi là nhân vật chủ chốt đã dẫn dắt tình hình này. Tuy nhiên, Alpheus chỉ đơn giản là tự hào về đệ tử đã trưởng thành như vậy.



	"Hơn nữa, ở đây vẫn vui lắm. Được rồi, thế là hết."



	Không nói thêm gì nữa, Fermi chào rồi bước đi. Có lẽ sau hôm nay anh sẽ không đến hội học sinh nữa. Nơi yên bình không kiếm ra tiền.





	Iruki và Naid im lặng đi đến bệnh xá. Đã năm năm rồi họ chưa có một trận chiến nghiêm túc nào, nên vẫn còn ngượng ngùng. Tuy nhiên, Naid không thể chịu nổi bầu không khí này.



	“Này! Sao anh không nói một lời? Anh cũng không cần phải lừa tôi đâu. Anh chỉ làm thế để tỏ ra ngầu thôi à?”



	“Anh làm tôi buồn cười quá, anh đang bàn chiến lược gì với một người đang bơi trong biển sầu vậy? Hơn nữa, nếu thông tin bị rò rỉ, họ cũng sẽ hành động, tại sao anh lại ngu ngốc như vậy?”



	"Đúng vậy, tôi là đồ ngốc! Tôi quá ích kỷ!"



	Cho dù là tức giận hay chửi bới, sự ngượng ngùng biến mất ngay khi cuộc trò chuyện bắt đầu. Iruki hỏi với vẻ mặt lo lắng.



	“Đúng rồi, ngươi thế nào? Cho dù tức giận đến thế nào, tại sao còn muốn biểu hiện ra tính cách cũ của mình?”



	Naiddo cũng lấy tay che đầu tỏ vẻ hối hận.



	“Ồ, tôi không biết. Lúc đó tôi không có thời gian để nghĩ đến bất cứ điều gì khác. Dù sao thì chúng tôi cũng không cãi nhau, nên không sao cả.”



	“Ồ, tôi rất tuyệt. Có lẽ anh đã quên tôi rồi.”



	“Thật buồn cười. Vậy là cuối cùng anh đã tính toán hết rồi à?”



	“Kuuuuuu, thì sao? Chỉ cần cúi đầu trước tôi là được.”



	Cuộc trò chuyện giữa hai người kết thúc khi cánh cửa phòng y tế mở ra. Amy đã ở đó để chào đón anh. Iruki gãi đầu một cách ngượng ngùng. Anh vẫn thấy khó có thể thoải mái với Amy, ngay cả khi đó là Naid.



	“Được rồi, hiện tại thì thế này. Dù sao thì, tôi đã bảo vệ Shirone…….”



	Khi Amy cố gắng che giấu chuyện đó, nước mắt đã chảy dài trên mắt cô.



	“Cảm ơn. Cảm ơn, Iruki…….”



	Iruki có vẻ mặt sợ hãi.



	“Chậc, được thôi.”



	Anh ta, người yếu đuối về mặt cảm xúc, chạy trốn đến bệnh xá. Tuy nhiên, ở đó, một bó cảm xúc khác, Seriel, đang chờ đợi với cánh tay dang rộng.



	Iruki sử dụng kỹ thuật đan quyền của mình để tránh vòng ôm của Seriel và ẩn náu trong Shirone.



	'Ồ, đó là lý do tại sao phụ nữ lại ghê tởm.'



	Seriel và Amy, gặp nhau ở cửa, ôm nhau và bắt đầu nhảy xung quanh. Naid cũng tham gia và chạy vòng quanh bệnh xá.



	“Wow! Tôi còn sống! Bây giờ Shirone còn sống!”



	Một nụ cười yếu ớt hiện lên trên môi Iruki trước bầu không khí tươi sáng đã vắng bóng từ lâu. Tuy nhiên, tâm trạng của anh không được tốt lắm. Mặc dù anh đã hoãn cái chết của mình trên giấy tờ, nhưng tình hình vẫn không hề cải thiện.



	Shirone vẫn không nhúc nhích, như thể cô ấy đang ngủ. Mặc dù lời hứa sẽ ở bên nhau sau khi tốt nghiệp rất rõ ràng, nhưng cảm giác người đó đã chết lại không chân thực chút nào.



	'Quay lại đi. Anh sẽ đợi em mãi mãi.'





	* * *





	Shirone tỉnh lại. Nói chính xác hơn, anh ta lại phát điên. Tâm trí anh ta giống như một đồng xu quay nhanh giữa cực bắc và cực nam, xen kẽ giữa bình thường và điên rồ.



	Giống như phát điên hàng ngàn lần. Anh cố gắng tuyệt vọng để giữ lại tâm trí sắp đảo lộn của mình, nhưng sự kích thích to lớn đang ập đến đã xuyên qua bản chất của Shirone và thay đổi tính cách của anh.



	“Ngươi được ban tặng cho ta. Cha mẹ ngươi sẽ ổn với bất kỳ ai khác ngoài ngươi. Ngươi không từng phải vất vả nuôi ngươi sao? Ngươi hẳn đã hối hận mỗi lần. Ngươi nói ngươi được nhặt về mà không mất gì. Nếu họ là cha mẹ ruột của ngươi, ngươi sẽ không nghĩ như vậy.”



	“Không! Không thể như vậy được!”



	“Ngươi là con ngoài giá thú, trên thế giới này bất kỳ người nào cũng có thể được nhận làm con nuôi, bọn họ không phải cha mẹ của ngươi.”



	Khi các hạt của Sirone rung chuyển, tiếng kêu của linh hồn lan truyền.



	Ồ ồ ồ ồ!



	“Bản chất của ngươi là một kẻ săn mồi đê tiện. Một sinh vật chà đạp lên mọi người có năng lực vượt trội. Sức mạnh của ngươi chắc chắn sẽ đòi hỏi sự thất bại của ai đó. Ngươi là một khối u không cần thiết đối với thế giới.”



	Ồ ồ ồ ồ!



	Shirone lại phát điên. Anh cảm thấy một mùi hôi thối bốc lên từ tâm trí mình. Nếu sự kết hợp này kết thúc, tôi sẽ được tái tạo thành gì? Một con quỷ? Một yaksha? Một con quỷ dữ? Anh không biết.



	Tốc độ điên loạn của anh ta tăng tốc hơn nữa. Khi anh ta đạt đến giới hạn, hai khuynh hướng bắt đầu cùng tồn tại trong đầu Shirone, xoay từ thái cực này sang thái cực khác.



	Đó là một thế giới mới.



	Trong trạng thái tinh thần cực độ mà không loại thuốc nào có thể đạt được, Shirone cuối cùng đã tìm ra giải pháp duy nhất để duy trì sự tỉnh táo của mình.



	Đó chính là điểm khởi đầu.



	Nếu ranh giới của một chu kỳ được gọi là giới hạn, thì gốc là điểm bắt đầu của giới hạn. Tuy nhiên, nó chứa đựng khả năng bao trùm toàn bộ thế giới.



	Một số người gọi đó là Điểm. Một số người gọi đó là Vùng Linh hồn. Một số người gọi đó là Taegeuk. Nhưng phù thủy gọi nó như thế này.



	vô cực.



	Đôi mắt của Shirone mở ra. Vùng Linh hồn bị hút vào đầu cô, và vô số hạt đang bay xung quanh với tốc độ siêu ánh sáng bắt đầu tự phục hồi thành một cơ thể tinh thần.



	Ở trung tâm vô cực, Sirone vẫn không hề dao động. Khi những giọng nói đang giày vò anh biến mất, sức mạnh của cơ thể tinh thần anh trở nên căng cứng như kim cương.



	Trạng thái Kim Cương có thể đạt được sau hàng ngàn đau khổ.



	Nó không thể bị phá hủy.



	Shirone nhìn về phía lối ra, thân thể nóng rực. Không còn sự hỗn loạn nào nữa. Khi anh bước đi, ánh sáng ấm áp và rực rỡ của lối ra thấm vào cơ thể anh và họ trở thành một.



	Một quả cầu thủy tinh nhỏ trong suốt xuất hiện trước mắt anh. Bên trong quả cầu, đủ nhỏ để vừa với lòng bàn tay anh, là ngôi đền nơi anh vừa dừng lại một lúc trước, và từ đó, một người phụ nữ đang nhìn lên Shirone.



	"Vậy là cuối cùng em cũng phải đi rồi, Shirone."



	“Tôi xin lỗi, nhưng tôi muốn quay lại.”



	“Bạn không cần phải xin lỗi. Tôi thực sự không nghĩ rằng bạn sẽ thành công. Bạn xứng đáng với điều đó.”



	Bởi vì không ngờ cô gái kia lại dễ dàng buông tha cho mình như vậy, nên bước chân rời đi của anh có chút nặng nề. Có lẽ là vì vậy. Mặc dù biết hiện tại không còn liên quan nữa, nhưng Shirone vẫn không nhịn được hỏi.



	“Bạn có bao giờ cảm thấy cô đơn không?”



	Người phụ nữ chớp mắt với vẻ mặt bối rối, rồi mỉm cười ấm áp.



	“Shirone là người tốt bụng. Nhưng Shin không cảm thấy cô đơn. Anh ấy chỉ cảm thấy hơi buồn vì em rời đi. Chỉ một chút thôi.”



	“Cảm ơn anh đã đưa em trở về cuộc sống. Em chỉ muốn nói với anh điều đó.”



	Trong giây lát, vẻ mặt của người phụ nữ trở nên nghiêm túc.



	“Nhớ kỹ, ngươi không có cơ hội thứ hai. Ngươi đã đạt tới cảnh giới Kim Cương, không còn xứng đáng với lời mời của ta nữa.”



	Shirone gật đầu như thể đang hứa hẹn và bước về phía lối ra. Khi tâm trí cô bắt đầu bị hút vào một chiều không gian và thời gian khác, cô cảm thấy một luồng ánh sáng ấm áp.



	'Cuối cùng tôi cũng quay trở lại.'



	Giọng nói của một người phụ nữ vang lên trong ý thức đang dần tan biến.



	-Xin chào hiệu trưởng nhé.



	Ngay cả trong trạng thái mơ hồ, Shirone vẫn tự hỏi. Làm sao cô có thể biết Hiệu trưởng Alpheus? Nhưng suy nghĩ đó không kéo dài được lâu, và cơ thể tinh thần của cô tan biến và bị hút vào cơ thể Shirone.





	* * *





	Ngày thứ 10 kể từ khi Shirone mất.



	“Ừm.”



	Amy tỉnh dậy, dụi đôi mắt ngái ngủ. Cô nghe thấy tiếng nứt khi cô dựa lưng vào ghế. Cô cảm thấy cơ thể mình đang chuyển động nhưng não vẫn ngủ, vì đã thức trắng đêm mỗi ngày.



	Nhìn xung quanh, cô thấy rằng không có người bạn nào của mình thức dậy. Sau khi uống một ít nước và rửa mặt, cô tiến đến gần Shirone trong khi lau mặt bằng khăn.



	“Shirone. Hôm nay tôi sẽ quay lại…….”



	Amy thở hổn hển và nín thở. Tiếng tim đập của cô ấy vang đến màng nhĩ. Một cơn rùng mình chạy dọc sống lưng, làm rung chuyển vai, cổ và mặt cô.



	Shirone mở mắt.



	“Hả? Hả?”



	Amy gọi Nade và Iruki, những người đang ngủ trên một tấm chăn trải trên sàn.



	“Ở đây, ở đây…… ở đây, ở đây…….”



	Không có lời nào thốt ra. Ít nhất tôi cũng phải phát ra âm thanh, nhưng cổ họng tôi như bị chặn lại. Amy đã thử biện pháp cuối cùng của mình. Cô hít một hơi thật sâu, nhắm chặt mắt và hét lên.



	“Gyaaaaaaaaaaah!”



	Nade và Iruki giật mình khi nghe thấy tiếng hét làm rung chuyển cả bệnh xá.



	“Cái gì! Cái gì!?”



	Vào cuộc sống hằng ngày (1)





	Alpheus bình tĩnh lại trái tim đang run rẩy của mình và đưa tay ra. Khi anh nhìn thấy Sirone mở mắt, ngay cả anh, một pháp sư cấp 4 được chứng nhận, cũng không khỏi ngạc nhiên.



	Shirone hiện đang bị một câu thần chú chậm chạp. Có lẽ anh ấy đã dành cả đêm chỉ để nhấc mí mắt lên. Cách duy nhất để biết anh ấy có thực sự còn sống hay không là phá bỏ câu thần chú.



	Alpheus, người đã chạm vào ngực Shirone, đã quay ngược thời gian. Tuy nhiên, Shirone vẫn không có dấu hiệu di chuyển. Không ai có thể đoán được điều gì sẽ xảy ra tiếp theo. Không còn lựa chọn nào khác ngoài việc tuân theo ý muốn của thiên đường.



	“Hả!”



	Lúc này, Shirone thở hổn hển, thân trên nâng lên, vẻ mặt của những người đang lo lắng nhìn cô đều sáng lên, ngược lại, Shirone lại sợ hãi, giống như vừa từ địa ngục trở về.



	“Cái gì? Chuyện gì đã xảy ra vậy?”



	Shirone giật mình vì luồng không khí đột ngột ùa vào. Thế giới được nhìn thấy trong chuyển động chậm là một bức tranh trừu tượng đầy màu sắc. Khi quang cảnh trở lại bình thường, khuôn mặt của mọi người hiện rõ. Amy và bạn bè cô đang khóc nức nở phía sau Alpheus.



	=======================================





Chương 107





	Theo quan điểm của Shirone, thời gian trôi qua không lâu. Sau khi nhập vào Bất tử chức năng, anh gặp một người phụ nữ và trốn thoát qua một lỗ đen. Nhưng trên thực tế, mười ngày đã trôi qua.



	Shirone mỉm cười ngượng ngùng và giơ tay lên.



	“Haha. Xin chào?”



	"Mày đang chào tao đấy à, đồ khốn!"



	“Ối!”



	Amy vung nắm đấm vào mặt Shirone. Không hề có sự sốc, nhưng Shirone, người đã ngã xuống giường vì lực, quay lại với khuôn mặt đẫm nước mắt.



	“Ái da! Sao tự nhiên lại thế này?”



	Amy rơi nước mắt như mưa.



	“Đồ tồi, con làm mẹ lo lắng thế này… đồ tồi!”



	Shirone có vẻ mặt vô hồn. Mọi thứ đều cấp bách và khó hiểu. Nhưng cô ấy nhanh chóng nhận ra điều gì đó và mỉm cười ấm áp. Nước mắt của Amy cho cô biết những gì đã xảy ra trong thời gian đó.



	“Tôi xin lỗi. Vì tôi….”



	“Shirone đã trở lại!”



	Nade và Iruki đẩy Amy về phía trước và chôn Shirone xuống giường. Amy, người vô tình ngã vào vòng tay của Shirone, hét lên với khuôn mặt đỏ bừng.



	“Ồ! Này, ra khỏi đây ngay!”



	“Ugh! Đau quá! Đau quá!”



	Shirone cũng hét lên đau đớn. Thực ra, cô ấy xấu hổ nhiều hơn là đau đớn. Nghĩ rằng nếu mọi chuyện cứ tiếp tục như vậy, cô ấy sẽ không thể nhìn Amy nữa, cô ấy vặn vẹo cơ thể hết sức mình, và những người bạn của cô ấy ngã xuống đất.



	“Ồ, chuyện gì thế này?”



	Shirone ngồi trên giường, trông giống như một người tị nạn bị đánh bom. Trên sàn, Amy, người đã ngã, đang xoa bóp phần lưng đau nhức và cằn nhằn Nade và Iruki.



	“Đó là một sự chào đón nồng nhiệt. Tuổi trẻ là một điều tuyệt vời.”



	Shirone nghiêm mặt khi nhìn thấy Alpheus. Chỉ riêng việc anh ấy ở đây đã cho thấy tình hình nghiêm trọng đến mức nào.



	Shirone hỏi Nade câu hỏi mà anh tò mò nhất.



	“Chuyện gì đã xảy ra với Arcane? Chuyện gì đã xảy ra với những người khác? Chuyện gì đã xảy ra với họ?”



	Nade, người đang bị Amy cằn nhằn, hét lên với vẻ mặt bối rối.



	“Bây giờ không phải vấn đề đó nữa! Ngươi đã chết mười ngày rồi!”



	“Cái gì? 10 ngày? Và anh cũng chết rồi sao?”



	"Tất nhiên rồi, Inma! Làm sao cô có thể sống mà không có nhịp tim? Làm ơn giải thích chuyện gì đã xảy ra."



	Shirone có vẻ sốc và không nói được gì trong một lúc. Cô phải kể cho anh nghe chuyện gì đã xảy ra, nhưng cô không biết phải bắt đầu từ đâu.



	Cửa phòng y tế mở ra và các giáo viên bước vào. Shiina ngạc nhiên khi thấy Shirone tỉnh lại. Tất nhiên, cô đã cầu nguyện tha thiết để anh ấy sống lại, nhưng thật sốc khi cô thực sự nhìn thấy anh ấy bằng chính mắt mình.



	Mặc dù tôi không thể thức tỉnh đến vô cực như Shirone, nhưng tôi cũng mơ hồ hiểu được việc một con người trở về trạng thái tan rã sẽ khủng khiếp và đau đớn đến mức nào.



	'Dù sao thì anh cũng đã trở về an toàn. Cảm ơn anh.'



	Shiina mỉm cười và liếc nhìn Etella. Cô đã phải chịu đựng cảm giác tội lỗi khủng khiếp trong mười ngày qua. Đúng như dự đoán, cô tiến đến gần Shirone với khuôn mặt trông như sắp khóc.



	“Shirone.”



	“Em xin lỗi, thưa thầy. Em……”



	Etella ôm chặt Sirone vào ngực mà không hề nghe cô nói lời nào.



	"Tôi xin lỗi. Đó là lỗi của tôi. Nếu tôi cẩn thận hơn một chút thì chuyện đó sẽ không xảy ra nữa."



	Đối với bạn bè của anh, đó là một cái ôm tuyệt đẹp giữa các linh mục, nhưng đối với Sirone, người ở phía nhận, đó là một trải nghiệm khủng khiếp. Etella ôm anh chặt đến nỗi anh không thể thở được. Anh không chỉ xấu hổ mà còn thực sự cảm thấy như mình đang ngạt thở.



	“Xin lỗi thầy……”



	"Hả?"



	“Tôi xin lỗi. Làm ơn cứu tôi.”



	"Ôi chúa ơi!"



	Khi nghe thấy tiếng kêu của Sirone, Etella nhanh chóng lùi lại.



	“Tôi xin lỗi. Tôi quá vui mừng nên không nhận ra rằng……”



	Shirone hít một hơi thật sâu, sắc mặt tái nhợt. Nhưng cảm giác này cũng là một phần của thế giới này. Anh mỉm cười nói, cảm thấy rất vui vì mình đã trở về.



	“Cuối cùng tôi cũng cảm thấy mình đã trở lại.”



	Khi mắt của những người bạn mở to, Shirone nhận ra sai lầm của mình và vội vàng xua tay.



	“Không, không phải vì thế mà tôi như vậy. Thì ra là…….”



	"Thằng nhóc kia, mày làm gì thế?"



	Amy chạy tới và túm lấy má Shirone.



	“Tại sao? Tôi phi thực tế đến thế sao? Hả?”



	“Không! Ý tôi không phải vậy!”



	Naid và Iruki phá lên cười. Alpheus nhìn Shirone vui vẻ chơi đùa với bạn bè, rồi lẻn ra khỏi bệnh xá mà không ai để ý. Từ giờ trở đi, anh sẽ là người bận rộn nhất.



	"Hiệu trưởng."



	Khi tôi quay lại, tôi thấy Shirone đã trốn thoát mà tôi không hề hay biết, đang đóng cửa phòng bệnh và đi về phía tôi.



	“Có chuyện gì vậy? Tôi nghĩ tốt nhất là nên nghỉ ngơi một lát. Tôi sẽ nghe bạn bè tôi nói về tiến triển. Có vẻ như trường học sẽ đóng cửa một thời gian.”



	“Vâng, cảm ơn anh đã quan tâm. Nhưng… có một điều tôi tò mò.”



	“Hả? Bạn có tò mò không?”



	Shirone kể lại mọi chuyện đã xảy ra với cô, từ lúc cô bước vào cõi vô tận cho đến lúc cô trở về thế giới ban đầu của mình thông qua hố đen.



	Lúc đầu, Alpheus cũng rất hứng thú lắng nghe. Nhưng theo câu chuyện tiến triển, sắc mặt của anh dần trở nên cứng đờ. Nhất là khi Shirone giải thích về năng lực của người phụ nữ, anh nhắm mắt lại và thở dài.



	“Cô ấy có nói là cô ấy biết tôi không?”



	“Vâng. Tôi nhờ anh ấy chuyển lời hỏi thăm của tôi đến hiệu trưởng. Có chút mơ hồ, nhưng tôi nghĩ đó là những gì tôi nghe được.”



	Shirone cảm thấy như mình đã nêu ra điều gì đó không cần thiết. Biểu cảm của Alpheus tệ hơn nhiều so với những gì cô mong đợi.



	“Ừ, tôi nghĩ tôi biết là ai rồi.”



	“Vâng? Anh biết không?”



	Mắt Shirone mở to. Alpheus rõ ràng là một pháp sư vĩ đại, nhưng người phụ nữ này lại đang sống ở một nơi vượt ra ngoài cuộc sống. Thật kỳ lạ khi cô ấy gặp hai người sống ở hai thế giới khác nhau.



	Nhưng Alpheus lại nghĩ khác. Đó không phải là sự trùng hợp ngẫu nhiên, mà là số phận. Ngay từ khoảnh khắc Shirone nhận ra chức năng bất tử, anh đã quyết định sẽ gặp cô.



	"Người phụ nữ đó là ai vậy?"



	“Mê cung Adrias. Lúc đó, nó được gọi là Mê cung Thời gian và Không gian. Anh ấy là đệ tử của tôi, chuyên ngành ma thuật quy mô.”



	Shirone làm một biểu cảm trống rỗng. Cô chưa bao giờ mơ rằng mình sẽ trở thành đệ tử của Alpheus. Cô đặc biệt sốc khi biết rằng sức mạnh của mình, thứ mà cô nghĩ là thần thánh, thực ra là ma thuật.



	“Ma thuật quy mô là gì?”



	Alpheus gãi lông mày khi cố tìm lời giải thích.



	“Shirone. Trong hội ma thuật, những người đạt đến chức năng bất tử được gọi là Người mở khóa.”



	“Vâng. Tôi đã nghe nói đến điều đó.”



	“Vậy thì dễ nói chuyện hơn. Miro cũng là một Unlocker. Cô ấy rất tò mò từ khi còn nhỏ. Cô ấy đào sâu không ngừng. Một thế giới lớn hơn vũ trụ, một thế giới nhỏ hơn một hạt. Ma thuật quy mô là một loại ma thuật mà chỉ những người đã nhận ra sự vô hạn của không gian và thời gian mới có thể sử dụng.”



	Shirone nhớ lại thời điểm cô gặp Miro. Thật vậy, năng lực chính của cô, những hạt thủy tinh, đang tự do thể hiện tính tương đối của không gian và thời gian.



	“Ông Miro nói rằng ông ấy đã theo dõi tôi suốt thời gian qua. Có thể như vậy không?”



	“Đừng lo lắng, Miro ở một không gian khác với ngươi. Nhưng khi ngươi mở ra chức năng bất tử, có lẽ ngươi có thể đạt tới cùng một không gian trong nháy mắt. Miro có lẽ đang chờ đợi khoảnh khắc đó.”



	"Nhưng tại sao lại là tôi? Người mở khóa rất hiếm, nhưng theo Arcane, họ không hiếm đến vậy. Phải có nhiều người mở khóa giỏi hơn tôi."



	Alpheus vuốt râu và dừng lại. Những gì anh sắp nói là tuyệt mật, không ai biết ngoại trừ những giáo viên đã làm việc hơn 20 năm.



	“Miro là chủ tịch đầu tiên của Hội nghiên cứu khoa học huyền bí.”



	Shirone nhớ lại khuôn mặt của Miro. Thật ngạc nhiên khi anh ấy là người tạo ra nhóm nghiên cứu mà anh ấy hiện đang tham gia, nhưng nếu anh ấy là chủ tịch đầu tiên, anh ấy sẽ là người của gần 20 năm trước, nhưng anh ấy dường như hầu như không già đi.



	“Miro không bị ám ảnh bởi hiện tượng. Anh ấy thấy rằng có quá nhiều thứ không thể giải thích bằng kiến thức. Anh ấy đã hợp tác với những người đồng cấp và thành lập một nhóm nghiên cứu ở Istas. Mikea Gaold, chủ tịch hiện tại của Hiệp hội Ma thuật Tormia, được cho là một trong những thành viên đầu tiên.”



	Shirone tưởng tượng ra các thành viên vào thời điểm đó. Theo Nade, Master Key của Magic Warehouse Istas được tạo ra bởi một Servant có cùng năng lực với Iruki. Không thể là Miro, và cũng không thể là Goald. Anh có thể đoán sơ qua tài năng của các thành viên ban đầu.



	Trong khi Shirone đang chìm trong suy nghĩ, Alpheus cũng nhớ lại những sự kiện của 18 năm trước. Miro đã từng là một cậu bé ngoan. Giá như không có sự cố ngày hôm đó. Đột nhiên nhận ra rằng mình đã bỏ lỡ điều gì đó, anh quay lại nhìn Shirone.



	“Shirone, bạn có biết tổng cộng có bao nhiêu học sinh không?”



	Alpheus tiếp tục nói ngay, như thể anh không hề yêu cầu câu trả lời.



	“Tất nhiên, tổng số học sinh luôn thay đổi. Có người tốt nghiệp, có người xin nghỉ phép, có người bị kỷ luật. Nhưng bất kể có bao nhiêu học sinh, ngôi trường này luôn thiếu một người.”



	Alpheus nói rồi quay đầu ra ngoài cửa sổ.



	“Miro không tốt nghiệp. Anh ấy vẫn còn ở trường này.”



	Shirone nuốt nước bọt, cảm giác như cô đã nghe một câu chuyện ma được truyền lại qua mọi ngôi trường. Nhưng ở lại có nghĩa là gì? Không phải cô ấy đã nói rằng cô ấy sống ở một không gian khác sao?



	Đúng lúc đó, ma thuật vảy xuất hiện trong đầu Shirone.



	“Vậy thì, chắc chắn là……?”



	Alpheus gật đầu và nói.



	“Đúng vậy. Mê cung nằm ở Istas. Tất nhiên, đó là một chiều không gian trên cao được tạo ra bởi ma thuật quy mô. Những người biết gọi nó là tầng trên cao.”



	Alpheus chạm vào vai Sirone.



	“Shirone, hứa với tôi. Chuyện hôm nay cô không được nói với ai cả. Những người cấp cao không có quan hệ tốt với cô đâu. Cô tuyệt đối, tuyệt đối không được dính líu đến những người cấp cao. Nó có thể khiến thế giới này hỗn loạn.”



	Shirone không thể trả lời ngay lập tức. Thế giới chưa biết. Unlocker. Ma thuật Scale. Tất cả thông tin đều khiến tâm trí anh rung chuyển. Tất nhiên, anh không có ý định bước vào một nơi nguy hiểm mà không cân nhắc đến hậu quả. Tuy nhiên, nói rằng anh sẽ không tham gia thì theo một cách nào đó là nói dối.



	Alpheus thở dài, như thể anh đã biết chuyện này sẽ xảy ra.



	“Nếu muốn biết về Mê cung Jung, tôi sẽ cho phép anh điều tra tàn tích Kergo. Tôi không đề xuất điều này để xoa dịu anh. Quá nguy hiểm nếu đào sâu vào các tầng trên ngay lập tức. Vì vậy, hãy ghi nhớ điều này.”



	Lúc này Shirone mới gật đầu, Alpheus nhất định có lý do nghiêm khắc khuyên can cô như vậy, anh cũng muốn từng bước một tiếp cận cô.



	“Tôi hiểu. Nhưng thật rùng rợn khi nghĩ đến việc anh ta ở lại Istas. Tôi không nghĩ mình có thể ngủ ở trung tâm nghiên cứu. Anh ta có thể đột nhiên xuất hiện.”



	“Đừng lo lắng. Miro sẽ không bao giờ rời khỏi không gian mà anh ấy tạo ra.”



	Shirone nghiêng đầu. Nếu cô ấy chắc chắn như vậy, điều đó có nghĩa là có cách để chứng minh điều đó.



	“Nhưng anh là người xuất chúng như vậy, có lý do gì đặc biệt không?”



	Alpheus nhìn ra ngoài cửa sổ với vẻ mặt buồn bã. Anh không nói những lời đó một cách chắc chắn, nhưng anh biết rằng Miro sẽ không bao giờ trở lại.



	“Với Miro, thế giới này… là một nơi đầy đau khổ.”





	* * *





	Alpheus, Canis và Arin đã rời đi thủ đô Baska để Hiệp hội Ma thuật điều tra. Theo các giáo viên, việc đóng cửa trường học tạm thời sẽ tiếp tục cho đến khi Hiệp hội đưa ra quyết định.



	Shirone được đưa vào bệnh xá. Đội ngũ y tế quyết định chờ xem mọi chuyện diễn ra thế nào vì tim cô đã ngừng đập trong 10 ngày. Shirone cũng không muốn làm gì vào lúc này, vì vậy cô ấy đang giết thời gian bằng cách đi chơi với bạn bè.



	“Shirone, tôi xin lỗi. Tôi rất buồn.”



	Seriel nói với khuôn mặt đẫm nước mắt. Nếu có một điều cô hối hận nhất sau khi lấy lại được ký ức, thì đó là cô đã đẩy Shirone ra vào ngày anh mua cà phê cho cô.



	“Không. Là do ma pháp. Seriel tiền bối không làm gì sai cả.”



	“Dù thế nào đi nữa, làm sao anh có thể quên em được?”



	“Không sao đâu. Chỉ cần đừng quá nghiêm trọng là được.”



	Ánh mắt của Seriel trở nên dịu dàng như mắt nai.



	“Shirone thật sự rất tình cảm, vậy bây giờ anh định làm gì? Anh định đòi cơ thể tôi à?”



	"Đúng?"



	=======================================





Chương 108





	Khuôn mặt Shirone trở nên vô lý. Phản ứng của bạn bè cô cũng không khác là bao. Amy lắc đầu và đặt tay lên trán khi cô nói.



	“Seriel, dạo này cậu đang đọc sách gì thế?”



	“Đúng rồi! Chính là nó!”



	Seriel lấy ra một cuốn tiểu thuyết như thể cô đã chờ đợi nó từ lâu. Tựa đề "The Primal Snare" được viết trên bìa bằng màu đỏ tươi.



	“Đây là cuốn sách bán chạy nhất trong các hiệu sách hiện nay. Nó kể về một quý tộc đã kết hôn và yêu người hầu gái của mình, và có câu này trong đó: Tôi đã làm vỡ đĩa của cô. Bây giờ cô định làm gì? Cô định đòi cơ thể tôi sao? Vì vậy, quý tộc phải trói chặt cô ấy bằng dây thừng và sau đó….”



	“Dừng lại! Đủ rồi. Đủ rồi!”



	Amy giơ tay lên ngăn anh lại. Cô cảm thấy mình không thể nghe thêm được nữa.



