Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.



	Olivia muốn đi theo anh và cằn nhằn anh, nhưng cô có thể hiểu được cảm xúc của anh. Có lẽ anh cảm thấy tê liệt và đầu óc trống rỗng.



	“Cuối cùng… mọi chuyện đã nổ ra.”



	Olivia tựa cằm vào khuỷu tay trên bàn.



	Điều tôi lo sợ cuối cùng đã xảy ra, nhưng tôi không nghĩ đó lại là một đối thủ mạnh đến vậy.



	'Ờ thì... Tôi đoán là tôi không thể không di chuyển sau khi thấy một bài viết như thế.'



	Có lẽ đây là điều tốt cho Shirone?



	Xét về tính tình của ông, ông có thể thấy ghê tởm điều đó, nhưng khi xét đến tương lai và cuộc sống của ông, thì điều đó chắc chắn gần giống với một phước lành hơn.



	“Dù sao thì… Tôi đoán mình nên ra ngoài.”



	Olivia nhanh chóng thay quần áo và rời khỏi phòng hiệu trưởng.





	@





	Khi một cỗ xe ngựa có kích thước bằng một ngôi nhà đi qua khu vườn, các sinh viên dừng lại và quan sát.



	Không chỉ kích thước của cỗ xe gây ngạc nhiên mà đây còn là lần đầu tiên những người lính có vũ trang tiến vào trường.



	“Cái gì? Có chuyện gì thế?”



	“Có phải ở đâu đó đang xảy ra chiến tranh không? Tại sao lại có hiệp sĩ trong trường?”



	Có tiếng ồn ào ở đây và ở đó, nhưng các hiệp sĩ vẫn bước đi mà không thèm nhìn họ.



	Cuối cùng, cỗ xe dừng lại ở tòa nhà trung tâm của trường.



	Các hiệp sĩ luôn đặt tay trên chuôi kiếm, sẵn sàng rút kiếm khi có dấu hiệu nghi ngờ nhỏ nhất và cảnh giác với kẻ thù.



	Các học sinh nghe được tin đồn đều tụ tập lại từng người một. Cuối cùng, có tới hàng trăm người tụ tập quanh xe ngựa.



	Nhưng cỗ xe vẫn đứng im tại chỗ, không hề di chuyển.



	Alpheus, người nhận được tin nhắn của Olivia, là người đầu tiên ra chào đón cô.



	Nhưng ngay cả khi cựu hiệu trưởng trường xuất hiện, các hiệp sĩ vẫn không mất đi sự cảnh giác.



	“Hiệu trưởng, có chuyện gì vậy? Có phải ở trường đã xảy ra chuyện gì không?”



	Alpheus không thể nói gì với các đệ tử của mình.



	Tôi đã hoài nghi sau khi nghe tin nhắn của Olivia, nhưng khi tận mắt chứng kiến, nó đã vượt quá mong đợi của tôi.



	Trên nóc cỗ xe được trang trí bằng vương miện vàng, có một bức tượng sư tử vàng.



	Chỉ có một quốc gia duy nhất trên lục địa này sử dụng biểu tượng sư tử.



	Alpheus vừa mới đến nên không nghe rõ chi tiết, nhưng nếu họ đã đến thì lý do sẽ rất rõ ràng.



	Shirone.



	Chính sai lầm của Killain đã dẫn đến tình huống này.



	'Không, tôi có nên gọi đây là một tình huống không? Có lẽ là đối với Shirone… … .'



	Đúng lúc này, cửa xe ngựa mở toang, một lão già mắt sáng bước ra, hai bên kỵ sĩ nhường đường, lão vẫn ngoan cố ngậm miệng, tiếp tục đi.



	Ông đã già và có dáng đi loạng choạng, nhưng vẻ mặt dữ tợn của ông không phải là biểu cảm bình thường.



	Sau khi rời khỏi đoàn hộ tống của các hiệp sĩ, anh ta nhìn quanh các học sinh trong khán phòng và lấy ra một cuộn giấy từ trong ngực áo với vẻ mặt mạnh mẽ và kiêu ngạo.



	Cuộn giấy cũng được làm từ loại giấy chất lượng cao nhất và được viền bằng vàng.



	“Ta là Ordos, quan hành chính của Vương quốc Kazura và là sứ giả được Đức vua phái đến!”



	=======================================





Số 261





	Các sinh viên đã lùi lại mà không hề nhận ra điều đó.



	Giọng nói của ông già, người dường như đã sẵn sàng để được chôn cất vào ngày mai, lớn hơn tiếng hét của chàng trai trẻ.



	Nhưng khi tôi hiểu được ý nghĩa đằng sau lời nói của ông già, tôi thậm chí còn không còn ngạc nhiên nữa.



	Vương quốc Kazura là một quốc gia nằm ở phía bắc Vương quốc Tormia.



	Tại sao một viên chức hành chính thực hiện lệnh của nhà vua lại đến thăm một trường học địa phương, chứ đừng nói đến Trường Ma thuật Hoàng gia?



	Những câu hỏi của sinh viên đã được Ordos trả lời sau đó.



	“Ở đây có Arian Sirone không? Nếu có, cô ấy nên nhanh chóng ra ngoài và tuân theo lệnh của nhà vua!”



	Tất cả học sinh, không trừ một ai, đều nhìn Shirone như thể đó là một nhiệm vụ nào đó.



	Nhưng không thấy Shirone đâu cả.



	Sau khi sự bối rối lắng xuống, một ý nghĩ kỳ lạ xuất hiện trong tôi. Tại sao một sứ giả từ Vương quốc Kazura lại đi tìm Shirone?



	Alpheus quay sang học sinh bên cạnh và nói.



	“Anh có thể đi gọi Shirone được không? Có vẻ như có chuyện gấp.”



	“Hả? Ồ, đúng rồi!”



	Cậu học sinh nhanh chóng bay đi và đi tìm Shirone.



	Tất nhiên, tôi không biết anh ấy ở đâu, và gần như không thể tìm thấy anh ấy trong sân trường rộng lớn này. Nhưng tôi hoảng sợ đến nỗi bắt đầu bằng cách di chuyển chân trước.



	“Arian Sirone! Sirone không có ở đây sao? Đây là lệnh của nhà vua! Mau ra đây và tuân lệnh!”



	Ordos rên rỉ rất to như thể anh ta không hài lòng về điều gì đó.



	Tất nhiên, với tư cách là sứ thần của Vương quốc Kazura, anh ta có chức vụ thực hiện mệnh lệnh của nhà vua, nên rõ ràng là không ai ở chức vụ này có thể tiếp cận anh ta.



	Cho dù Alpheus có uy tín đến đâu trong cộng đồng phù thủy, thì đó cũng chỉ là một vị trí do nhà nước trao cho anh ta. Không một tổ chức nào có thể được ưu tiên hơn nhà nước.



	Tuy nhiên, vì nó giống như vua của một nước ngoài đã đích thân bước ra, nên các học trò của các gia đình quý tộc đã đọc đi đọc lại chuyên luận về chủ nghĩa đế quốc đều không thể lên tiếng.



	“Shirone! Em có thể ra ngoài nhanh được không?”



	“Tôi đã mang Shirone tới.”



	Một giọng nói tuyệt đẹp vang lên giữa tiếng xào xạc của Ordos.



	Olivia, hiệu trưởng hiện tại của Trường Phép thuật Alpheus, bước về phía Sirone, nắm lấy tay cô.



	Không khó để tìm thấy anh ấy, vì anh ấy thường ghé qua Hội nghiên cứu khoa học huyền bí sau giờ học.



	Iruki và Nade đi theo.



	Shirone nhìn xung quanh với vẻ mặt bối rối.



	Hầu như tất cả học sinh đều tụ tập ở đó, phía trước là một cỗ xe ngựa lớn và đội lính canh trông rất mạnh mẽ.



	Trên đường đến đây, tất cả những gì tôi nghe được từ Olivia là có người đang tìm cô ấy.



	“Shirone, đi gặp người đó đi. Anh ta là sứ giả của Vương quốc Kazura.”



	“Hả? Anh chết rồi à?”



	Chỉ đến lúc đó Shirone mới nhìn Olivia với vẻ ngạc nhiên.



	Shirone hiện tin tưởng cô nhiều như cô đã lo lắng khi Killain tham gia vào hoạt động tham nhũng, nhưng cô không khỏi cảm thấy lo lắng khi nghe nói cô là sứ giả của nhà vua.



	Olivia vỗ nhẹ lưng anh một cách trìu mến.



	“Không sao đâu. Khi nào đi rồi sẽ biết.”



	Vì tin tưởng Olivia, Sirone hít một hơi thật sâu và bước về phía Ordos.



	Ordos trừng mắt nhìn Sirone bằng ánh mắt sắc bén.



	Rõ ràng là một con mắt sắc bén, nhưng tôi cảm thấy não mình như bị đâm thủng. Ngay lúc tôi nghĩ rằng mình không thể nói dối, Ordos hỏi bằng giọng khàn khàn đặc trưng của mình.



	“Ngươi có phải là người Aryan Sirone không?”



	“Vâng, đúng vậy.”



	“Nói dối ở đây là xúc phạm Vương quốc Kazura! Ta hỏi lại ngươi! Ngươi có chắc mình là Arian Sirone không?”



	“Đúng vậy! Chắc chắn rồi!”



	Shirone hét lên mà không hề hay biết.



	Tôi không biết tại sao anh ấy lại phải tỏ ra khó chịu như vậy khi nói chuyện ở cự ly gần, nhưng điều đó chắc chắn có hiệu quả.



	Khi tâm trí tôi trở nên nhợt nhạt, câu trả lời hiện ra một cách tự nhiên như thể tôi đang trong trạng thái xuất thần.



	Ordos đưa tay ra với phó chỉ huy đang đứng phía sau mình.



	Khi phó cung thủ đưa cho ông ta cuộn giấy có con dấu hoàng gia, Ordos mở nó ra rồi ngẩng đầu lên một cách kiêu ngạo và hét lớn.



	“Arian Sirone! Trước khi truyền lệnh của nhà vua, ta sẽ hỏi ngươi vài câu. Ngươi phải biết rằng nếu ngươi nói dối hoặc làm chứng gian, mạng sống của ngươi sẽ gặp nguy hiểm. Ngươi hiểu chứ?”



	"Được rồi."



	Tôi không thích thái độ kêu gọi mọi người đứng lên và đe dọa tính mạng của Ordos, nhưng tôi không còn lựa chọn nào khác ngoài việc tuân theo vì đó là lệnh của nhà vua.



	Tất nhiên, tôi không có gì phải xấu hổ vì tôi chưa từng phạm tội gì trong đời.



	“Arian Sirone. Đây có thực sự là Ariane Sirone, con trai của một người leo núi sống giữa Thung lũng Bình minh không?”



	“Vâng, đúng vậy.”



	“Arian Vincent, đó có phải là đứa trẻ mà Ariane Olina nhặt được ở chuồng ngựa không, Sirone?”



	Không có họ nào có ý nghĩa đặc biệt đối với thường dân.



	Lý do Vincent và Olina có cùng họ là vì họ là người Aryan. Họ là một nhóm thiểu số và không được công chúng biết đến nhiều, nhưng một nhà dân tộc học sẽ biết ngay rằng họ là thường dân.



	Cuối cùng, lời nói của Ordos không hề cho thấy sự quan tâm nào tới Sirone.



	Kể cả không nói thêm rằng Shirone là một đứa trẻ được nhặt từ chuồng ngựa thì cả vương quốc đều biết rằng Shirone là một thường dân.



	“Vâng, đúng vậy.”



	Shirone thở dài và trả lời.



	Tôi có thể cảm nhận được ánh mắt ghê tởm của các sinh viên, nhưng tôi đã chuẩn bị sẵn sàng.



	Nhưng Ordos vẫn liên tục nhấn mạnh vào những phần tệ hại, như thể anh ta không thể chịu được việc làm Shirone xấu hổ.



	“Ngươi được nuôi dưỡng bởi thợ săn Vincent, người sống ở khu vực Thorn Mine nằm giữa dãy núi Origin, khi ngươi mới hai tháng tuổi. Nơi đó bị bỏ hoang là một chuồng ngựa. Từ đó, ngươi học được kỹ năng săn bắn bằng cách đi theo cha mình. Sau đó, ngươi trở thành quản gia cho gia tộc Ozent và làm việc ở đó trong hai năm, sau đó ngươi vào học trường ma thuật với tư cách là khách ở đó. Có đúng không?”



	Một học sinh phá lên cười.



	“Poohahaha! Quản gia!”



	Tiếng cười nhanh chóng lắng xuống khi mọi người đổ dồn sự chú ý vào họ, nhưng rõ ràng là những sinh viên khác cũng đang cười thầm.



	Quản gia là người hầu lau sàn nhà trong một gia đình quý tộc.



	Nade nhìn quanh, cố nhớ lại khuôn mặt của cô học sinh vừa mỉm cười cách đây một lúc.



	Iruki cũng cau mày, có vẻ như bị xúc phạm bởi lời nói của Ordos.



	Shirone lại thở dài.



	Khi mới bước tới, tôi bối rối, nhưng giờ đây tôi đã hiểu rõ hơn về hoàn cảnh của mình.



	Mọi người đều đang tự chế giễu mình.



	Thật kinh khủng khi những người bạn vừa mới cười đùa và trò chuyện với tôi cách đây không lâu lại nhìn tôi như thể tôi đang nhìn một con bọ.



	“Trả lời tôi đi, Shirone! Tất cả những điều này có đúng không?”



	“Đúng vậy, đúng vậy…….”



	Ngay khi Shirone nói xong, các học sinh bắt đầu xì xào.



	Hầu hết đều tỏ ra khinh thường và chế giễu, chỉ có một số ít nhìn Shirone với vẻ thương hại.



	Canis và Arin, những người đang lắng nghe từ xa đám đông, cũng nằm trong số ít đó.



	“Thật bất ngờ. Shirone là thường dân.”



	"Hử, thì sao? Dù sao thì, quý tộc cũng xui xẻo, bọn họ chỉ biết khoe khoang tên tuổi của mình thôi."



	Canis và Arin cũng không có cha mẹ. Họ bị bỏ rơi trên đường phố khi còn nhỏ và trải qua tuổi thơ ở Radum, một góc tối của thủ đô, vì vậy họ không thể không cảm thấy oán giận những người quý tộc chế giễu Sirone.



	“Nhưng có một số người không thích điều đó. Iruki và Naid cũng vậy, và Dante và nhóm của anh ta cũng cảm thấy không ổn. Đặc biệt là Dante thì không ngờ tới. Tôi nghĩ anh ta sẽ ghét Shirone.”



	Chắc chắn là sự thật, Arin có năng lực siêu nhiên.



	Canis nhìn Dante với vẻ không hài lòng rồi lẩm bẩm điều gì đó như muốn nói, "Có chuyện gì to tát thế?"



	“Tch, nguồn gốc có liên quan gì đến những kẻ điên cuồng vì phép thuật? Nếu bạn là một pháp sư đầy tham vọng, thì đó chỉ là chuyện bình thường. Không, điều đó cũng thật khó chịu. Bạn thương hại ai khi bạn sinh ra đã ngậm thìa bạc trong miệng?”



	Arin cười khúc khích.



	Mặc dù Shirone có danh hiệu thường dân, nhưng bọn họ chỉ là những đứa con ngoài giá thú không có gốc rễ. Mặc dù anh ta nói năng rất gay gắt, nhưng rõ ràng Canis cũng bị dao động bởi thái độ đối xử với mọi người chỉ bằng ma thuật của Dante.



	“Này… Amy cũng đi cùng.”



	Hai người phụ nữ đang chạy về phía nơi Arin chỉ. Họ là Amy và người bạn thân nhất của cô, Seriel.



	“Amy, chuyện quái quỷ gì đang xảy ra thế?”



	Seriel thở hổn hển, nhưng cô không hề ngậm miệng lại dù chỉ một giây.



	Người đầu tiên mà cô sinh viên nhận được yêu cầu của Alpheus tìm đến là Amy, được biết đến là người yêu của Sirone.



	Tất nhiên, Seriel, người đang canh gác bên cạnh anh, không thể không tham gia vào tình huống khó tin này.



	“Tôi không biết! Bạn sẽ biết khi bạn đi.”



	Amy và Seriel chen lấn qua đám đông sinh viên.



	Bây giờ người yêu chính thức của Shirone đã xuất hiện, các sinh viên nhường đường mà không nói một lời.



	“Shirone! Đây là cái gì…!”



	Amy chen qua đám đông và vội vàng nuốt lời.



	Nhiều hiệp sĩ đang theo dõi mọi hướng với ánh mắt giết người, và một ông già gầy gò đang hét lên những lời độc ác.



	Shirone hơi cúi đầu, lắng nghe lời ông lão, giống như ông đã phạm tội và đang chờ phán quyết.



	Sirone xứ Ordos đã đạt đến điểm mà tình hình trở nên khó có thể bỏ qua.



	Ông bắt đầu bằng việc kể lại những câu chuyện đã được đăng trên tạp chí, và sau khi kể xong, ông bắt đầu chia sẻ những giai thoại cá nhân mà ông đã thu thập được qua kênh của mình.



	Thậm chí còn có giai thoại về việc dành thời gian với trẻ em trong một ngôi làng đốt nương làm rẫy, cũng như lang thang qua các ngọn núi trong nhiều ngày để tìm thức ăn cho một bữa ăn.



	Theo quan điểm của học sinh, mọi thứ đều mới mẻ và vô lý. Và điều đó khiến cho việc Shirone là thường dân càng trở nên cảm động hơn.



	Cuộn giấy mà Ordos đang cầm chỉ chứa đựng lệnh của nhà vua.



	Vào thời điểm này, nỗ lực của Ordos trong việc ghi nhớ mọi thứ trong 18 năm qua thật đáng ngưỡng mộ.



	Shirone, người có liên quan, đang trong trạng thái bối rối.



	Cảm giác bị tiết lộ toàn bộ bí mật trước mặt những người bạn mà tôi đã gắn bó suốt một năm còn tệ hơn cả việc khỏa thân.



	“Tất cả những sự thật này có đúng không? Trả lời tôi đi, Sirone.”



	Shirone quá kích động đến nỗi cô thậm chí không nhận ra rằng mình đang nắm chặt nắm đấm. Khi cô tỉnh lại, cô đã ở bờ vực nổ tung.



	Anh ta nhanh chóng bình tĩnh lại và gật đầu tỏ vẻ cam chịu.



	“Vâng, đúng vậy.”



	Các sinh viên phá lên cười.



	Khi loạt câu hỏi ngớ ngẩn cứ tiếp tục, chẳng ai chú ý nữa.



	Trên thực tế, đó không phải là một câu chuyện buồn cười. Tuy nhiên, đối với những người lớn lên trong gia đình quý tộc, quá khứ của Shirone, học sinh giỏi nhất lớp nâng cao, không thể thú vị hơn.



	Seriel nhìn Amy với vẻ lo lắng hiện rõ trên khuôn mặt.



	Tất nhiên, anh cũng biết được Shirone là thường dân thông qua một tạp chí.



	Thành thật mà nói, tôi đã bị sốc. Tôi cũng buồn vì Amy đã không nói cho tôi biết sự thật quan trọng này.



	Nhưng Seriel quyết định chọn con đường khiến cô ấy hạnh phúc.



	Mọi thứ tôi trải nghiệm khi ở bên Amy và Shirone đều quá quý giá để tôi ghét họ.



	Nhưng những sinh viên khác lại không có ký ức như vậy.



	Với họ, Shirone chẳng khác gì một thiên tài khó gần và là một trở ngại mà họ mong muốn sẽ biến mất khỏi cuộc sống của họ nếu có chuyện gì không may xảy ra với họ.



	“Amy….”



	Cuối cùng Amy đã phát nổ.



	“Những đứa trẻ đó! Có gì buồn cười khi chúng cười thế?”



	Amy bước về phía các học sinh với hai tay khoanh lại.



	Tôi cũng ghét những người bạn của Shirone chỉ đứng nhìn tình hình diễn ra như thế này.



	Vào lúc đó, Ordos truyền đạt mệnh lệnh của nhà vua.



	“Aryan Sirone, quỳ xuống và tuân lệnh!”



	Bước chân của Amy dừng lại, Shirone quỳ xuống và lắng nghe lá thư.



	Ordos hét lớn như thể cho đến bây giờ nó chỉ là tiếng thì thầm.



	Cảm giác thực sự giống như nó sắp bị xé toạc ra vậy.



	“Vua Orkamp IV của Kazura ra lệnh! Mọi hành động của Arian Sirone đều phù hợp với những gì chúng ta nghe được từ Vương quốc Kazura, vì vậy có khả năng rất lớn là ngài là hoàng tử đầu tiên đã chạy trốn trong cuộc khủng hoảng của vương quốc 18 năm trước! Vì vậy, tôi mời ngài đến vương quốc. Xin hãy sẵn sàng chấp nhận lời kêu gọi và chứng minh giá trị của ngài với tư cách là hoàng tử đầu tiên! Vậy thôi! Vua Orkamp IV!”



	Iruki và Naid hét lên cùng lúc.



	“Cái quái gì thế này!”



	Các sinh viên khác cũng cảm thấy sốc tương tự.



	Khi một phái viên nước ngoài đến và hỏi Shirone chi tiết về quá khứ của cô ấy, tôi nghĩ đó chỉ là một lời đề nghị trinh sát đơn giản.



	Mặc dù rất hiếm, nhưng đôi khi chúng tôi vẫn tuyển dụng nhân tài từ các quốc gia khác tùy thuộc vào hoàn cảnh của từng quốc gia.



	Nhưng Shirone là người hoàng gia. Anh là hoàng tử đầu tiên, hậu duệ trực tiếp của hoàng gia.



	=======================================





Số 262





	Những học sinh đang bàn tán về Shirone thì thì thầm với vẻ mặt tái mét.



	“Chuyện quái quỷ gì đang xảy ra thế này? Tại sao Shirone lại ở đây?”



	“Tôi không biết. Hoàng tử đầu tiên? Và của Vương quốc Kazura?”



	“Ha, được thôi, nếu cậu có tài năng như Shirone thì cậu không thể chỉ là một thường dân được.”



	Mọi người đều sửng sốt trước lời nói sắc bén của ai đó.



	Khi tôi nghĩ lại thì thấy đúng.



	Không có gì đảm bảo rằng một thiên tài sẽ không được sinh ra trong một gia đình thường dân, nhưng tài năng cũng phần lớn là một yếu tố di truyền. Hầu hết học sinh cũng thừa hưởng thiên tài từ cha mẹ của họ.



	Cuối cùng họ cũng nhận ra điều họ đã bỏ qua.



	Chỉ vì Shirone lớn lên trong một gia đình thường dân không có nghĩa là dòng máu của cô cũng là thường dân.



	Không, nếu cha mẹ ruột là thường dân, họ sẽ không thể lẻn vào vùng núi sâu và bỏ lại đứa trẻ.



	“Này, chúng ta phải làm sao đây? Vương quốc Kazura là đồng minh của vương quốc chúng ta, đúng không? Shirone có thực sự sẽ trở thành vua của Kazura không? Nếu anh ta làm hại chúng ta thì sao?”



	"Này, đồ ngốc! Vẫn chưa chắc chắn đâu! Không cần phải hoảng sợ đâu."



	“Tôi không chắc! Anh nghĩ vương quốc sẽ công bố điều gì đó như thế này mà không có bất kỳ cuộc điều tra nào sao? Những gì chúng ta nghe được không phải là tất cả. Kazura đã cử một sứ giả vì họ đã chắc chắn sau nhiều lần điều tra.”



	Chắc chắn có khả năng điều đó sẽ xảy ra.



	Đó là một lá thư từ chính nhà vua, không chỉ ở bất kỳ nơi nào khác, mà là từ vương quốc. Nếu chẳng may Shirone không phải là con trai của ông, thì đó sẽ là một nỗi ô nhục của quốc gia.



	Tuy nhiên, việc thông báo công khai như vậy chứng tỏ giới lãnh đạo đã chắc chắn hơn 99 phần trăm.



	“Tôi không biết! Ôi, chết tiệt! Tất cả đều hỏng hết rồi!”



	Nade cảm thấy nhẹ nhõm khi nhìn những người bạn của mình đang khóc.



	Tất nhiên, ngay cả khi Shirone trở thành vua, anh cũng không phải là loại người sẽ làm hại họ.



	Không, nếu anh ta thực sự trở thành vua thì chỉ có người có đầu óc hẹp hòi mới quan tâm.



	Nhưng theo quan điểm của người bị ảnh hưởng, việc không cảm thấy an toàn cũng là bản chất của con người.



	Ngay cả một quý tộc hạng nhất cũng là người sống nhờ vào trợ cấp của nhà nước.



	Mặc dù có một số gia đình siêu quốc gia trên khắp thế giới, nhưng hầu hết chỉ là chư hầu của vua.



	Trong tình huống như vậy, đúng là các học sinh cảm thấy đau nhói trong đầu và nặng lòng khi Shirone bị đưa vào vị trí trở thành hoàng gia.



	“Trả lời nhanh đi, Sirone! Đây là lệnh của nhà vua!”



	Khi Shirone không đưa ra câu trả lời chắc chắn, Ordos lại hét lên.



	Nhưng Shirone thực sự không biết phải đưa ra quyết định nào.



	Tôi vừa mới đấu với Dante.



	Bài viết này được xuất bản dưới ngòi bút của Killain và lan truyền khắp vương quốc.



	Đấy chính là mức độ của tình huống mà Shirone đã tưởng tượng.



	Anh không ngờ rằng cha mẹ ruột của anh sẽ đọc được bài viết này và đến tìm anh.



	Hơn nữa, nếu cha mẹ ruột của ông không phải là quý tộc mà là hoàng tộc, thì sẽ rất lạ nếu ông không bị liệt.



	Shirone nhìn quanh để tìm người có thể giải thích tình hình hiện tại.



	Hầu hết học sinh đều tỏ ra ngạc nhiên, ngay cả Nade và Iruki cũng không có lời khuyên nào để đưa ra.



	Một người bạn có thể nói gì khi cha mẹ ruột của mình đang tìm kiếm con mình? Đó là vấn đề huyết thống, và hơn nữa, nó liên quan đến hoàng gia.



	Alpheus nhìn lại Olivia.



	Tôi nghĩ bài viết của Killine sẽ gây nên một cơn bão, nhưng nó lớn hơn nhiều so với những gì tôi mong đợi.



	“Vương quốc Kazura. Đây là loài cá tốt nhất trong số các ứng cử viên cho đến nay.”



	“Đó sẽ là mức độ tin tưởng cao. Theo những gì tôi thấy, tài năng của Shirone là phi thường. Tôi nghĩ rằng có lẽ cô ấy thực sự có thể tìm thấy cha mẹ ruột của mình sau khi đọc bài báo, nhưng tôi không bao giờ nghĩ rằng đó sẽ là hoàng gia…….”



	Mặc dù họ không nói với Shirone, nhưng sau khi bài viết về Killain được đăng tải, một số gia đình đã bí mật yêu cầu vẽ chân dung của Shirone.



	Do tình trạng hôn nhân chính trị thường xuyên xảy ra trong giới quý tộc nên có rất nhiều trẻ em ngoài giá thú.



	Hầu hết mọi người đều không quan tâm đến trẻ em bị bỏ rơi, nhưng lại là một câu chuyện khác khi nói đến tài năng vĩ đại nhất trong vương quốc.



	Đó là sự kiêu ngạo của một nhà quý tộc khi chắc chắn rằng đứa trẻ đó là con mình, ngay cả khi có một vài điểm bất nhất.



	“Wow! Chuyện này không thể xảy ra được! Shirone là hoàng tử! Chuyện này giống hệt như trong tưởng tượng của tôi! Amy, cô thấy tôi đáng sợ thế nào không? Nhìn này!”



	Seriel đã rời đi đến một thế giới khác.



	Shirone là một hoàng tử.



	Đây chẳng phải là chuyện tình lãng mạn không thể thay thế bằng sách sao?



	“Hả? Nếu như vậy……”



	Seriel đột nhiên nhận ra điều gì đó và quay lại nhìn Amy với vẻ mặt ngạc nhiên.



	“Amy! Con có định làm nữ hoàng không?”



	“Im lặng! Anh đang nói gì thế?”



	Amy ngậm miệng lại với vẻ mặt sợ hãi.



	Trong một tình huống vốn đã phức tạp, tiếng nói chuyện của Seriel gần như trở nên ồn ào.



	Dù sao thì, việc Shirone có phải là hoàng tộc hay không cũng không quan trọng. Tôi chỉ lo Shirone sẽ bối rối khi gặp cha mẹ ruột của mình.



	Shirone nhìn vào mắt Amy.



	Amy cũng nhìn Shirone với vẻ mặt đáng thương như thể cô ấy sắp khóc.



	Đây là lệnh của nhà vua nên không còn cách nào khác ngoài việc phải tuân theo.



	Shirone hẳn cũng biết điều đó. Cô ấy chỉ muốn chắc chắn rằng lựa chọn của mình là đúng.



	Amy gật đầu.



	Shirone lại nhìn chằm chằm vào Amy như thể đang hỏi một câu hỏi, và chỉ sau khi nhìn thấy nụ cười của Amy, cô mới quay đầu về phía Ordos.



	“Vâng, tôi sẽ tuân theo lời kêu gọi của nhà vua.”



	Ordos tiến lại gần Sirone như thể đó là điều hiển nhiên phải xảy ra.



	“Luật lệ của hoàng gia khác với luật lệ của quý tộc. Luật lệ của Vương quốc Kazura đặc biệt nghiêm ngặt, vì vậy bạn nên cẩn thận về cách cư xử của mình. Sau khi bạn nghỉ học, hãy mang theo cha mẹ đã nuôi dưỡng bạn.”



	“Vâng? Ngay bây giờ?”



	“Nói thì có ích gì chứ? Đây là lệnh của vua! Chúng ta nên rời đi càng sớm càng tốt!”



	Mắt Shirone tối sầm lại.



	Cậu không chỉ không quen với luật pháp của Vương quốc Kazura mà còn cảm thấy bực bội vì phải đột ngột xin nghỉ học và trở về nhà.



	Trên hết, tôi không được cho biết những thủ tục nào đang chờ tôi khi vào vương quốc.



	Kể cả khi bạn hỏi, họ cũng sẽ không nói cho bạn biết, nhưng chẳng phải sẽ tốt hơn nếu biết những điều cơ bản để bạn không mắc lỗi sao?



	“Xin lỗi… nếu anh cho tôi một chút thời gian…!”



	“Ôi! Đồ khốn nạn! Ngươi không tuân lệnh vua sao?”



	Shirone vẫn ngậm chặt miệng.



	Điều đáng thất vọng nhất là thái độ của Ordos.



	Vì ông là viên chức hành chính của vương quốc nên đôi khi hành xử chuyên quyền là điều có thể chấp nhận được.



	Điều thực sự làm tan nát trái tim Shirone là sắc lệnh của hoàng gia được viết trên cuộn giấy.



	Nếu họ là cha mẹ ruột… … Tôi nghĩ họ không nên gọi đứa con mà họ đã bỏ bê suốt 18 năm, bằng cái tên như thế.



	Tôi không mong bạn phải nói xin lỗi, nhưng nếu bạn cảm thấy tội lỗi, tại sao bạn không thử tạo cho nó chút tiện lợi?



	Ít nhất là vì lợi ích của cha mẹ họ, những người đã thay họ nuôi dạy họ.



	Alpheus chọc vào xương sườn Olivia.



	“Lần này, ngươi giúp ta một chút, cứ như vậy, chúng ta sẽ không đi đến đâu cả.”



	"ừm…."



	Olivia cũng đang nghĩ đến việc can thiệp nếu cần thiết.



	Lý do Vương quốc Kazura nghiêm ngặt hơn Tormia là vì nơi này chỉ mới độc lập được 100 năm.



